ID,Email,Skills
1000,1000@gmail.com,Python SQL Machine Learning
1001,1001@gmail.com,React Node.js MongoDB
1002,1002@gmail.com,C C++ Embedded Systems
1003,1003@gmail.com,React Node.js MongoDB
1004,1004@gmail.com,Python SQL Machine Learning
1005,1005@gmail.com,Java Spring Boot
1006,1006@gmail.com,Java Spring Boot
1007,1007@gmail.com,React Node.js MongoDB
1008,1008@gmail.com,Java Microservices
1009,1009@gmail.com,Python Deep Learning AI
1010,1010@gmail.com,Python SQL Machine Learning
1011,1011@gmail.com,HTML CSS JavaScript
1012,1012@gmail.com,SQL Excel Power BI
1013,1013@gmail.com,Python Data Analysis Pandas
1014,1014@gmail.com,Java Microservices
1015,1015@gmail.com,Java Microservices
1016,1016@gmail.com,React Node.js MongoDB
1017,1017@gmail.com,Python SQL Machine Learning
1018,1018@gmail.com,Java Microservices
1019,1019@gmail.com,SQL Excel Power BI
1020,1020@gmail.com,SQL Excel Power BI
1021,1021@gmail.com,Python Data Visualization
1022,1022@gmail.com,Python Data Visualization
1023,1023@gmail.com,Python Deep Learning AI
1024,1024@gmail.com,Python SQL Machine Learning
1025,1025@gmail.com,Python Deep Learning AI
1026,1026@gmail.com,Python Data Analysis Pandas
1027,1027@gmail.com,Java Microservices
1028,1028@gmail.com,Java Microservices
1029,1029@gmail.com,SQL Excel Power BI
1030,1030@gmail.com,Java Microservices
1031,1031@gmail.com,SQL Excel Power BI
1032,1032@gmail.com,Python Deep Learning AI
1033,1033@gmail.com,Python Data Analysis Pandas
1034,1034@gmail.com,SQL Excel Power BI
1035,1035@gmail.com,React Node.js MongoDB
1036,1036@gmail.com,Java Microservices
1037,1037@gmail.com,Java Spring Boot
1038,1038@gmail.com,Python Data Visualization
1039,1039@gmail.com,SQL Excel Power BI
1040,1040@gmail.com,Java Microservices
1041,1041@gmail.com,React Node.js MongoDB
1042,1042@gmail.com,Python Deep Learning AI
1043,1043@gmail.com,Python Deep Learning AI
1044,1044@gmail.com,SQL Excel Power BI
1045,1045@gmail.com,SQL Excel Power BI
1046,1046@gmail.com,Java Microservices
1047,1047@gmail.com,SQL Excel Power BI
1048,1048@gmail.com,HTML CSS JavaScript
1049,1049@gmail.com,HTML CSS JavaScript
1050,1050@gmail.com,HTML CSS JavaScript
1051,1051@gmail.com,HTML CSS JavaScript
1052,1052@gmail.com,Python Data Analysis Pandas
1053,1053@gmail.com,HTML CSS JavaScript
1054,1054@gmail.com,C C++ Embedded Systems
1055,1055@gmail.com,SQL Excel Power BI
1056,1056@gmail.com,Python SQL Machine Learning
1057,1057@gmail.com,Java Spring Boot
1058,1058@gmail.com,React Node.js MongoDB
1059,1059@gmail.com,Java Microservices
1060,1060@gmail.com,SQL Excel Power BI
1061,1061@gmail.com,Python Data Analysis Pandas
1062,1062@gmail.com,React Node.js MongoDB
1063,1063@gmail.com,HTML CSS JavaScript
1064,1064@gmail.com,HTML CSS JavaScript
1065,1065@gmail.com,HTML CSS JavaScript
1066,1066@gmail.com,Python Data Analysis Pandas
1067,1067@gmail.com,SQL Excel Power BI
1068,1068@gmail.com,Python SQL Machine Learning
1069,1069@gmail.com,Java Spring Boot
1070,1070@gmail.com,React Node.js MongoDB
1071,1071@gmail.com,Python Data Visualization
